RANK,MARKS,Category
1,346,General
101,270,General
201,253,General
301,243,General
401,234,General
501,227,General
601,222,General
701,217,General
801,213,General
901,209,General
1001,206,General
1101,204,General
1201,201,General
1301,199,General
1401,197,General
1501,195,General
1601,193,General
1701,191,General
1801,190,General
1901,188,General
2001,186,General
2101,185,General
2201,183,General
2301,182,General
2401,181,General
2501,180,General
2601,178,General
2701,177,General
2801,176,General
2901,175,General
3001,174,General
3101,173,General
3201,172,General
3301,171,General
3401,170,General
3501,169,General
3601,168,General
3701,167,General
3801,166,General
3901,165,General
4001,164,General
4101,163,General
4201,162,General
4301,162,General
4401,161,General
4501,160,General
4601,159,General
4701,159,General
4801,158,General
4901,157,General
5001,157,General
5101,156,General
5201,155,General
5301,154,General
5401,154,General
5501,153,General
5601,152,General
5701,152,General
5801,151,General
5901,150,General
6001,150,General
6101,149,General
6201,149,General
6301,148,General
6401,147,General
6501,147,General
6601,146,General
6701,146,General
6801,145,General
6901,145,General
7001,144,General
7101,144,General
7201,143,General
7301,143,General
7401,142,General
7501,142,General
7601,141,General
7701,141,General
7801,140,General
7901,140,General
8001,139,General
8101,139,General
8201,139,General
8301,138,General
8401,138,General
8501,137,General
8601,137,General
8701,137,General
8801,136,General
8901,136,General
9001,135,General
9101,135,General
9201,134,General
9301,134,General
9401,133,General
9501,133,General
9601,133,General
9701,132,General
9801,132,General
9901,132,General
10001,131,General
10101,131,General
10201,131,General
10301,130,General
10401,130,General
10501,129,General
10601,129,General
10701,129,General
10801,128,General
10901,128,General
11001,128,General
11101,127,General
11201,127,General
11301,127,General
11401,126,General
11501,126,General
11601,126,General
11701,125,General
11801,125,General
11901,125,General
12001,124,General
12101,124,General
12201,123,General
12301,123,General
12401,123,General
12501,123,General
12601,122,General
12701,122,General
12801,122,General
12901,121,General
13001,121,General
13101,121,General
13201,120,General
13301,120,General
13401,120,General
13501,120,General
13601,119,General
13701,119,General
13801,119,General
13901,118,General
14001,118,General
14101,118,General
14201,117,General
14301,117,General
14401,117,General
14501,117,General
14601,116,General
14701,116,General
14801,116,General
14901,116,General
15001,115,General
15101,115,General
15201,115,General
15301,114,General
15401,114,General
15501,114,General
15601,114,General
15701,113,General
15801,113,General
15901,113,General
16001,113,General
16101,112,General
16201,112,General
16301,112,General
16401,112,General
16501,111,General
16601,111,General
16701,111,General
16801,110,General
16901,110,General
17001,110,General
17101,110,General
17200,110,General
17301,109,General
17401,109,General
17501,109,General
17601,109,General
17701,108,General
17801,108,General
17901,108,General
18001,108,General
18101,107,General
18201,107,General
18301,107,General
18401,107,General
18501,106,General
18601,106,General
18701,106,General
18801,106,General
18901,106,General
19001,105,General
19101,105,General
19201,105,General
19301,105,General
19401,104,General
19501,104,General
19601,104,General
19701,104,General
19801,104,General
19901,103,General
20001,103,General
20101,103,General
20201,103,General
20301,102,General
20400,102,General
20501,102,General
20601,102,General
20701,102,General
20801,101,General
20901,101,General
21001,101,General
21101,101,General
21201,100,General
21301,100,General
21401,100,General
21501,100,General
21601,99,General
21701,99,General
21801,99,General
21901,99,General
22001,99,General
22101,98,General
22201,98,General
22301,98,General
22401,98,General
22501,98,General
22601,97,General
22701,97,General
22801,97,General
22901,97,General
23001,97,General
23101,96,General
23201,96,General
23301,96,General
23401,96,General
23501,96,General
23601,95,General
23701,95,General
23801,95,General
23901,95,General
24001,95,General
24101,94,General
24201,94,General
24301,94,General
24401,94,General
24501,94,General
24601,93,General
24701,93,General
24801,93,General
24901,93,General
23401,91,General
1,297,Ews
101,192,Ews
201,176,Ews
301,166,Ews
